station_id,date_start,date_end,geo_lon,geo_lat,height,name
1,1937-01-01,1986-06-30,8.8493,47.8413,478,Aach
3,1891-01-01,2011-03-31,6.0941,50.7827,202,Aachen
11,1980-09-01,2020-09-30,8.5205,47.9737,680,Donaueschingen (Landeplatz)
44,1969-01-01,2020-11-09,8.2370,52.9336,44,Großenkneten
52,1969-01-01,2001-12-31,10.1990,53.6623,46,Ahrensburg-Wulfsdorf
61,1975-07-01,1978-08-31,12.6171,48.8443,339,Aiterhofen
70,1973-06-01,1986-09-30,9.0371,48.2052,712,Albstadt-Ebingen
71,1986-11-01,2019-12-31,8.9784,48.2156,759,Albstadt-Badkap
72,1978-09-01,1995-05-31,9.0001,48.2766,794,Albstadt-Onstmettingen
73,1959-03-01,2020-11-09,13.0506,48.6159,340,Aldersbach-Kriestorf
78,1961-01-01,2020-11-09,7.9126,52.4853,65,Alfhausen
90,1988-02-19,2020-11-09,9.2583,50.7557,305,Alsfeld
91,1978-11-01,2020-11-09,9.3450,50.7446,300,Alsfeld-Eifa
93,1977-12-01,1978-10-31,9.2542,50.7691,269,Alsfeld-Reibertenrod
96,2019-04-09,2020-11-09,12.8518,52.9437,50,Neuruppin-Alt Ruppin
98,1887-02-15,1954-12-31,8.4671,51.189,780,Altastenberg
102,1998-01-01,2020-11-09,8.1275,53.8633,32,Leuchtturm Alte Weser
106,1971-01-01,2006-12-01,10.4429,51.7976,500,Altenau
116,1947-01-01,1973-05-31,12.4333,50.9833,213,Altenburg
125,1974-03-01,2020-11-09,10.8667,47.8342,756,Altenstadt
126,1979-11-01,2010-11-30,10.2213,49.5447,330,Uffenheim (Schulstr.)
129,1991-01-01,2006-12-31,13.2420,53.6893,33,Altentreptow
131,2004-11-01,2020-11-09,12.9326,51.0881,296,Geringswalde-Altgeringswalde
132,1953-12-11,1987-09-30,12.3891,49.7725,750,Altglashütte
142,1955-01-01,2020-11-09,11.3117,48.406,511,Altomünster-Maisbrunn
150,1951-01-01,2020-11-09,8.1164,49.7273,215,Alzey
151,1947-01-01,2020-11-09,11.8546,49.4691,382,Amberg-Unterammersricht
154,1994-01-01,2020-11-09,12.2925,48.0197,516,Amerang-Pfaffing
161,1980-12-01,2020-11-09,7.4202,50.4237,75,Andernach
164,1908-05-17,2020-11-09,13.9908,53.0316,54,Angermünde
167,2004-09-01,2020-11-09,13.6846,53.8412,9,Anklam
169,1947-01-01,1966-12-31,13.0053,50.573,630,Annaberg-Buchholz
172,1969-05-01,1991-11-30,9.5056,52.2486,395,Annaturm
174,1984-03-01,1987-12-31,7.9766,49.1886,250,Annweiler-Bindersbach
175,1952-01-01,1976-04-30,10.5751,49.2964,413,Ansbach
176,1976-06-01,1995-11-30,10.5826,49.2475,481,Ansbach-Claffheim
177,1947-05-01,1957-10-31,10.5815,49.3158,418,Ansbach-Hennenbach
181,1999-11-01,2008-11-02,11.5042,52.8761,30,Arendsee
183,1947-01-01,2020-11-09,13.4343,54.6792,42,Arkona
184,1947-01-01,1966-06-30,12.0077,52.6769,55,Arneburg
185,1946-01-01,1957-12-31,9.9294,54.6289,3,Arnis
186,1880-01-01,1998-09-30,8.0713,51.3773,218,Arnsberg
191,1986-04-01,2020-11-09,9.9114,49.9694,217,Arnstein-Müdesheim
193,1968-01-01,1997-10-31,9.0820,51.3845,232,Arolsen-Neu Berich
197,1990-08-01,2020-11-09,9.0558,51.3218,365,"Arolsen-Volkhardinghausen, Bad"
198,1954-01-01,2020-11-09,11.2920,51.3745,164,Artern
202,1947-01-01,1951-12-31,9.1114,49.9778,110,Aschaffenburg
207,1947-01-01,1964-12-31,11.4667,51.7498,105,Aschersleben
211,1981-09-01,1999-12-31,8.4685,50.58,200,Aßlar Klein-Altenstädten
217,1941-01-01,2020-11-09,11.3643,47.8774,670,Attenkam
221,1985-08-01,1990-05-31,11.7117,48.5515,483,Au i.d.Hallertau-Günzenhausen
222,1977-01-01,2020-11-09,12.7139,50.5908,393,Aue
231,1879-01-01,1974-04-30,10.8948,48.3723,490,Augsburg (Sankt Stephan)
232,1947-01-01,2020-11-09,10.9417,48.4253,462,Augsburg
243,1958-09-01,2006-12-31,7.4670,53.4621,4,Aurich
257,1949-01-01,2020-11-09,8.2457,48.727,240,Baden-Baden-Geroldsau
259,1947-01-01,2020-11-09,7.6387,47.8064,273,Müllheim
268,1954-01-01,2008-12-31,8.2727,48.5293,622,Baiersbronn-Obertal
273,1986-12-01,1990-04-30,9.6606,47.8413,467,Baindt
282,1949-01-01,2020-11-09,10.9206,49.8743,240,Bamberg
283,1948-01-01,1959-12-31,10.8695,49.8808,382,Bamberg-Altenburg
284,1879-01-01,1958-12-31,10.8800,49.88,282,Bamberg (Sternwarte)
288,1991-01-01,1998-08-31,13.7549,53.8409,3,Bargischow-Gnevezin
294,1992-02-01,2020-11-09,9.4300,52.3199,110,Barsinghausen-Hohenbostel
298,1947-01-01,2020-11-09,12.7108,54.3406,3,Barth
303,1993-08-20,2020-11-09,13.4996,52.0614,55,Baruth
314,1945-06-06,2020-11-09,14.5042,51.1604,234,"Kubschütz, Kr. Bautzen"
320,1879-01-01,2020-11-09,11.5197,49.9667,350,Heinersreuth-Vollhof
321,1979-01-01,1995-10-31,12.0017,47.6797,789,Bayrischzell
326,2004-07-01,2013-07-08,8.0577,51.7204,120,Beckum-Unterberg
327,1962-09-01,1996-10-31,8.8323,53.6234,27,Bederkesa
330,1937-01-01,2020-11-09,8.9673,49.5617,455,Oberzent-Beerfelden
335,1976-12-01,1977-10-31,10.6018,54.3426,4,Behrensdorf
341,1968-02-01,1993-01-31,7.5520,47.7277,235,"Bellingen, Bad"
342,2010-12-01,2020-11-09,8.1694,52.317,103,Belm
348,1989-12-14,2011-09-01,7.5886,50.4135,127,Bendorf
350,1999-06-01,1999-12-31,10.7268,51.6715,540,Benneckenstein
355,1947-01-01,1989-10-31,8.6276,49.6789,140,Bensheim
361,1948-01-01,1998-12-31,13.0109,47.6344,550,Berchtesgaden (KKst)
365,1991-10-01,2002-09-30,11.4303,49.3311,421,Berg/Oberpfalz
368,1973-01-01,2020-11-09,9.9248,52.8152,70,Bergen
377,1947-01-01,2020-11-09,7.9967,49.107,210,"Bergzabern, Bad"
379,1954-07-01,2020-11-09,11.2665,50.9074,303,"Berka, Bad (Flugplatz)"
386,1973-07-01,1986-11-30,8.3851,51.0454,445,"Berleburg, Bad"
390,1986-12-01,2020-11-09,8.3683,50.9837,610,"Berleburg, Bad-Stünzel"
395,1948-07-01,1953-12-31,13.4833,52.4167,38,Berlin-Adlershof
399,1975-01-01,2015-06-30,13.4057,52.5198,36,Berlin-Alexanderplatz
400,1961-01-01,2020-11-09,13.5022,52.6309,60,Berlin-Buch
402,1876-01-01,1962-12-31,13.2997,52.4564,55,Berlin-Dahlem (LFAG)
403,1950-01-01,2020-11-09,13.3017,52.4537,51,Berlin-Dahlem (FU)
405,1951-04-01,1954-12-31,13.6500,52.45,37,Berlin-Friedrichshagen
407,1958-01-01,1978-03-31,13.2858,52.6461,48,Berlin-Frohnau
408,1948-12-01,1951-11-30,13.3833,52.5333,35,Berlin-Invalidenstraße
410,1996-06-01,2020-10-31,13.7309,52.404,33,Berlin-Kaniswall
416,1982-07-01,1996-09-30,13.4127,52.4069,47,Berlin-Lichtenrade
417,1936-01-01,1956-10-31,13.3036,52.4144,43,Berlin-Lichterfelde (Süd)
420,1993-05-01,2020-11-09,13.5598,52.5447,60,Berlin-Marzahn
422,1956-01-01,1964-12-31,13.3833,52.5333,35,Berlin-Mitte
424,1954-01-01,1980-12-31,13.4667,52.5,36,Berlin-Ostkreuz
425,1959-01-01,1982-06-30,13.4838,52.4044,38,Berlin-Rudow
427,1957-01-01,2020-11-09,13.5306,52.3807,46,Berlin Brandenburg
429,1986-10-01,1987-01-31,13.1694,52.5667,32,Berlin-Spandau
430,1963-01-01,2020-11-09,13.3088,52.5644,36,Berlin-Tegel
432,1978-04-01,1994-12-31,13.2952,52.6044,36,Berlin-Tegeler Fliesstal
433,1948-01-01,2020-11-09,13.4021,52.4675,48,Berlin-Tempelhof
434,1947-01-01,1960-12-31,13.4699,52.4553,35,Berlin-Treptow
435,1964-01-01,2006-12-31,13.2327,52.4289,45,Berlin-Zehlendorf
445,1898-01-01,2020-11-09,11.7110,51.8218,85,Bernburg/Saale (Nord)
450,1945-01-01,2012-12-04,7.0664,49.9186,120,Bernkastel-Kues
458,1975-01-01,1988-03-31,7.0306,50.0699,185,"Bertrich, Bad"
460,1951-01-01,2020-11-09,6.6868,49.2641,363,Berus
474,1959-01-01,1986-09-30,9.7639,48.1252,599,Warthausen-Birkenhard
480,1945-01-01,2006-12-31,8.4935,50.9275,296,Biedenkopf-Wallau
502,1967-08-01,2006-12-31,9.4883,49.8747,412,Bischbrunn
508,1994-04-01,2010-12-31,11.8149,50.0539,675,Bischofsgrün
524,1947-01-01,1992-12-31,12.3167,51.6333,80,Bitterfeld
526,1951-01-01,1975-12-31,11.2805,50.6738,254,"Blankenburg, Bad"
535,1947-01-01,2020-11-09,7.3079,50.0372,417,Blankenrath
550,1994-05-01,2002-09-30,11.7985,50.9041,344,Bobeck
553,1954-01-01,1974-12-31,6.6107,51.838,25,Bocholt (Marienschule)
554,1947-01-01,2006-02-28,6.5365,51.8293,23,Bocholt-Liedern (Wasserwerk)
555,1940-01-01,2018-11-01,7.2697,51.4789,101,Bochum
570,1979-01-01,1981-12-31,13.0765,49.0768,648,Bodenmais-Mais
576,1987-08-01,2003-12-31,8.9732,48.6759,445,Böblingen
578,1951-03-01,1966-12-31,11.3667,48.9451,379,Böhming
588,1992-05-01,1996-07-31,9.3953,51.752,105,Boffzen
591,1947-01-01,2020-11-09,10.6878,53.3911,45,Boizenburg
592,1946-01-01,1962-12-31,9.7344,53.8634,10,Bokel
